Date,Site,TotalPhosphorus,Total_Dissolved_Phosphorus,Ammonia,Nitrate_Nitrite
7/6/15,WE2,161.17,75.93,5.41,3.14
7/13/15,WE2,140.13,111.15,71.37,3.19
7/20/15,WE2,136.42,122.35,36.24,2.88
7/27/15,WE2,106.02,82.51,30.49,1.83
8/4/15,WE2,113.14,54.16,19.09,1.39
8/10/15,WE2,631.74,98.76,3.15,1.14
8/17/15,WE2,76.55,9.44,1.3,0.14
8/24/15,WE2,57.72,7.41,2.11,0.14
8/31/15,WE2,58.71,9.67,3.95,0.05
9/8/15,WE2,57.75,7.45,8.66,0.01
9/14/15,WE2,77.89,11.24,0.45,0.002
9/21/15,WE2,66.85,15.7,0.4,0.002
9/28/15,WE2,77.87,34.82,11.71,0.02
10/5/15,WE2,78.5,14.11,9.44,0.33
10/14/15,WE2,25.46,13.71,16.88,0.3
10/19/15,WE2,60.18,6.41,2.28,0.27
5/31/16,WE2,20.3,6.5,16.6,1.63
6/13/16,WE2,76.7,6.9,17.9,0.47
6/27/16,WE2,62.6,14.9,68.7,0.73
7/5/16,WE2,40.5,8.6,34.7,0.43
7/11/16,WE2,45.7,8.8,37.8,0.47
7/18/16,WE2,78,9.7,11.5,2.15
7/25/16,WE2,49,4.8,23.4,0.44
8/1/16,WE2,71,7.7,9.3,0.23
8/9/16,WE2,73.6,5.2,12.3,0.05
8/15/16,WE2,69.4,5.9,13.8,0.002
8/22/16,WE2,133.7,4.9,5.8,0.002
8/29/16,WE2,54.7,21.3,22.5,0.002
9/6/16,WE2,62.4,16.9,52.4,0.07
9/12/16,WE2,87.2,27.2,39,0.05
9/19/16,WE2,65.9,26.5,36.6,0.06
9/28/16,WE2,45.6,16.4,32.7,0.01
10/3/16,WE2,75.9,25.6,36.6,0.08
10/11/16,WE2,77.4,30.5,24,0.23
10/17/16,WE2,57.6,29.2,13.3,0.11
3/23/17,WE2,56.02,23.36,138.16,1.01
4/25/17,WE2,165.04,37.3,68.43,2.07
5/8/17,WE2,55.34,17.74,68,0.74
5/30/17,WE2,141.91,80.44,40.24,4.04
6/12/17,WE2,91.44,39.99,32.82,3.1
6/26/17,WE2,19.5,3.8,29.68,0.65
7/5/17,WE2,127.76,50.16,66.03,4.28
7/11/17,WE2,125.83,28.07,79.53,2.6
7/17/17,WE2,182.05,78.14,353.38,4.75
7/24/17,WE2,62.39,22.25,15.24,2.38
7/31/17,WE2,40.96,5.02,42.48,0.93
8/7/17,WE2,44.87,7.65,49.39,1.01
8/14/17,WE2,34.79,5.92,17.1,0.59
8/21/17,WE2,52.2,7.19,6.18,0.43
8/28/17,WE2,52.79,6.5,7.09,0.16
9/5/17,WE2,52.91,13.06,22.63,0.25
9/11/17,WE2,64.31,5.32,53.08,0.12
9/18/17,WE2,44.26,5.28,22.55,0.002
9/25/17,WE2,53.3,5.29,25.26,0
10/2/17,WE2,30.5,3.87,5.07,0.21
10/10/17,WE2,52.68,17.92,195.37,0.01
10/16/17,WE2,33.87,17.41,23.2,0.29
5/21/18,WE2,128.07,47.05,62.13,2.42
6/12/18,WE2,94.37,33.59,52.27,1.63
6/25/18,WE2,77.49,37.25,131.13,1.38
7/2/18,WE2,38.43,12.78,21.9,1.35
7/9/18,WE2,49.35,18.76,52.14,2.13
7/16/18,WE2,19.97,3.71,24.98,0.65
7/23/18,WE2,24.41,4.91,7.6,0.68
7/30/18,WE2,26.16,4.45,2.98,0.7
8/6/18,WE2,23.3,4.23,4.93,0.55
8/13/18,WE2,27.48,6.51,3.77,0.37
8/20/18,WE2,32.11,6.34,0.87,0.24
8/27/18,WE2,31.46,5.79,3.6,0.06
9/4/18,WE2,23.14,7.99,0.81,0.06
9/11/18,WE2,98.85,25.29,33.01,0.06
9/17/18,WE2,48.57,17.65,3.84,0.21
9/25/18,WE2,55.493,15.3125,29.55,0.16
10/1/18,WE2,45.454,22.042,9.24,0.19
