Date,Site,TotalPhosphorus,Total_Dissolved_Phosphorus,Ammonia,Nitrate_Nitrite
5/15/12,WE2,16.21,0,10.22,0.46
5/31/12,WE2,42.01,12.29,14.68,0.47
6/11/12,WE2,31.57,7.86,13.9,0.45
6/22/12,WE2,23.11,8.02,23.44,0.34
7/12/12,WE2,56.62,9.07,10.01,0.16
7/23/12,WE2,60.98,25.05,12.82,0.01
7/31/12,WE2,42.03,16.55,0.45,0.41
8/6/12,WE2,28.2,10.64,0.04,0.39
8/13/12,WE2,34.58,13.66,1.5,0.002
8/20/12,WE2,27.51,7.2,1.31,0.002
8/29/12,WE2,57.68,10.27,1.05,0.002
9/5/12,WE2,103.5,17.13,40.15,0.08
9/12/12,WE2,38.35,13.58,0.76,0.43
9/17/12,WE2,39.98,17.22,0.86,0.002
5/29/13,WE2,45.93,11.82,23.32,0.92
6/10/13,WE2,109.72,46.1,122.02,4.52
6/17/13,WE2,17.47,4.15,3.55,0.58
6/24/13,WE2,22.86,13.21,41.98,1.55
7/3/13,WE2,82.77,26.31,51.32,1.23
7/8/13,WE2,32.83,17.04,6,0.95
7/15/13,WE2,64.22,31.08,3.57,6.17
7/22/13,WE2,51.69,15.31,32.31,2.34
7/29/13,WE2,51.71,19.1,13.56,2.55
8/5/13,WE2,23.76,6.91,4.19,1.04
8/12/13,WE2,48.39,8.03,1.97,1.31
8/19/13,WE2,47.15,6.67,2.41,1.06
8/26/13,WE2,51.25,5.81,1.36,0.46
9/3/13,WE2,48.8,4.63,1.94,0.28
9/10/13,WE2,81.79,4.51,0.04,0.01
9/17/13,WE2,68.75,3.63,0.48,0.01
9/23/13,WE2,59.31,2.19,0.27,0.01
10/15/13,WE2,93.72,9.95,0.04,0.01
10/21/13,WE2,57.32,8.75,15.59,0.02
5/27/14,WE2,58.58,12.05,3.55,1.9
6/16/14,WE2,36.13,12.29,3.51,0.48
6/30/14,WE2,26.35,6.65,8.64,0.47
7/8/14,WE2,22.68,7.93,16.29,0.6
7/14/14,WE2,26.15,6.94,11.03,1.09
7/21/14,WE2,32.25,4.51,2.93,0.52
7/29/14,WE2,23.55,5.99,6.48,0.44
8/4/14,WE2,31.98,4.83,3.03,0.56
8/11/14,WE2,121.13,6.93,7.07,0.15
8/18/14,WE2,72.11,7.08,3.25,0.002
8/25/14,WE2,90.27,21.17,3.38,0.01
9/2/14,WE2,71.65,8.88,4.92,0.03
9/8/14,WE2,42.73,9,1.15,0.05
9/15/14,WE2,57.64,25.57,10.97,0.14
9/23/14,WE2,65.63,24.95,12.85,0.15
9/29/14,WE2,133.6,10.18,0.04,0.15
10/6/14,WE2,53.34,13.96,11.18,0.15
10/15/14,WE2,48.77,17.24,9.31,0.15
10/20/14,WE2,44.3,15.96,6.57,0.16
10/27/14,WE2,38.93,18.56,3.72,0.16
11/3/14,WE2,95.91,23.54,69.57,0.2
6/8/15,WE2,64.65,49.03,52.75,1.38
6/18/15,WE2,334.43,170.76,32.26,5.19
6/22/15,WE2,207.42,159.11,51.95,5.09
6/29/15,WE2,79.26,33.25,29.68,2.14
