Date,Site,TotalPhosphorus,Total_Dissolved_Phosphorus,Ammonia,Nitrate_Nitrite
5/31/16,WE9,103.8,14,42.5,2.62
6/13/16,WE9,215.8,23.6,31,1.91
6/27/16,WE9,192.1,32.1,162.1,2.81
7/5/16,WE9,361.4,72.9,188.8,9.45
7/11/16,WE9,163.3,17.6,24.2,5.15
7/18/16,WE9,168.7,11.4,10.8,2.08
7/25/16,WE9,173.1,11.2,35.2,1.53
8/1/16,WE9,203,13.2,4.9,2.57
8/9/16,WE9,246.1,13.8,6,1.41
8/15/16,WE9,215.5,5.9,5.6,0.12
8/22/16,WE9,236,19.5,3,0.65
8/29/16,WE9,159.6,48.1,94.7,1.06
9/6/16,WE9,211,64.5,24.9,0.53
9/12/16,WE9,157.9,39.3,37.2,0.25
9/19/16,WE9,122,64.2,110.9,0.58
9/28/16,WE9,103.1,32.5,53.3,0.19
10/3/16,WE9,136.1,72.5,47.1,1.52
10/11/16,WE9,104,41.9,56.2,0.78
10/17/16,WE9,79.6,33.5,97,0.58
3/23/17,WE9,142.23,52.61,91.49,4.8
4/25/17,WE9,246.86,66.34,115.82,4.48
5/8/17,WE9,806.64,120.56,160.41,4.83
5/30/17,WE9,782.75,142.27,104.85,5.84
6/12/17,WE9,163.92,85.31,135.98,4.05
6/26/17,WE9,141.94,64.55,244.22,3.07
7/5/17,WE9,314.82,88.5,118.95,6.53
7/11/17,WE9,283.29,98.21,63.92,8.33
7/17/17,WE9,349.99,120.73,53.9,4.86
7/24/17,WE9,321.3,3.91,102.18,3.13
7/31/17,WE9,199.86,86.07,40.13,2.66
8/7/17,WE9,135.28,70.76,75.34,2.08
8/14/17,WE9,94.83,52.56,202.07,1.89
8/21/17,WE9,129.76,14.02,6.3,0.73
8/28/17,WE9,142.58,7.62,30.67,0.03
9/5/17,WE9,166.73,15.79,55.3,0.39
9/11/17,WE9,107.58,16.49,36.93,0.49
9/18/17,WE9,98.84,8.69,15.76,0.04
9/25/17,WE9,148.83,11.13,42,0.05
10/2/17,WE9,138.18,18.22,24.34,0.15
10/10/17,WE9,115.77,24.4,98.27,0.11
10/16/17,WE9,80.59,46.43,130.94,0.58
5/21/18,WE9,181.96,86.02,216.2,3.26
6/12/18,WE9,174.71,39.46,198.76,2.51
6/25/18,WE9,275.07,107.31,561.61,8.64
7/2/18,WE9,122.35,69.66,7.18,5.48
7/9/18,WE9,132.52,59.05,45.98,5.93
7/16/18,WE9,62.96,10.43,9.89,3.52
7/23/18,WE9,110.08,28.53,122.28,2.73
7/30/18,WE9,58.85,10.35,4.96,1.59
8/6/18,WE9,46.35,8.54,4.3,1.07
8/13/18,WE9,57.17,11.65,3.94,0.55
8/20/18,WE9,161.23,79.93,7.18,0.8
8/27/18,WE9,248.79,112.3,194.37,1.61
9/4/18,WE9,90.06,16.49,6.01,0.36
9/11/18,WE9,106.18,22.77,54.08,0.28
9/17/18,WE9,108.74,51.53,9.62,0.7
9/25/18,WE9,109.6275,55.838,72.8,0.75
10/1/18,WE9,73.379,36.3035,51.48,0.36
10/9/18,WE9,133.02,81.887,145.34,0.98
