Date,Site,TotalPhosphorus,Total_Dissolved_Phosphorus,Ammonia,Nitrate_Nitrite
5/27/14,WE13,7.98,3.44,2.14,0.28
6/16/14,WE13,19.34,6.49,5.39,0.48
6/30/14,WE13,15.15,4.19,7.63,0.47
7/8/14,WE13,15.55,1.65,8.23,0.33
7/14/14,WE13,11.39,2.08,8.28,0.33
7/21/14,WE13,14.43,1.99,0.73,0.33
7/29/14,WE13,18.5,3.46,0.04,0.29
8/4/14,WE13,14.98,1.67,2.04,0.22
8/11/14,WE13,24.71,4.03,9.92,0.22
8/18/14,WE13,13.61,1.58,2.97,0.17
8/25/14,WE13,17.14,1.39,2.69,0.04
9/2/14,WE13,21.62,2.38,3.83,0.09
9/8/14,WE13,21.07,2.91,2.22,0.07
9/15/14,WE13,29.4,6.44,0.73,0.14
9/23/14,WE13,20.2,5.28,3.86,0.2
9/29/14,WE13,96.29,2.31,0.04,0.16
10/6/14,WE13,24.76,3.94,27.28,0.19
10/15/14,WE13,19.55,7.5,9.62,0.19
10/20/14,WE13,24.05,15.29,12.25,0.19
10/27/14,WE13,13.24,6.17,11.14,0.18
6/8/15,WE13,24.18,17.79,5.01,0.39
6/18/15,WE13,24.82,32.1,13.4,0.57
6/22/15,WE13,23.06,6,0.4,1.23
6/29/15,WE13,133.44,28.42,6.82,2.19
7/6/15,WE13,137.53,62.54,4.81,2.67
7/14/15,WE13,43.32,17.03,26.44,1.16
7/20/15,WE13,74.65,4.71,2.13,0.47
7/27/15,WE13,13.67,6.16,2.47,0.35
8/4/15,WE13,45.69,5.83,2.56,0.55
8/10/15,WE13,74.89,7.69,2.33,0.35
8/17/15,WE13,22.53,3.72,0.23,0.06
8/25/15,WE13,32.8,5.16,0.85,0.1
8/31/15,WE13,40.03,6.62,3.61,0.09
9/8/15,WE13,44.3,5.62,1.16,0.02
9/14/15,WE13,49.05,23.31,0.4,0.01
9/28/15,WE13,41.73,10.61,0.4,0.03
10/5/15,WE13,181.89,22.32,14.39,0.22
10/14/15,WE13,32.67,13.42,15.51,0.36
5/31/16,WE13,15.4,0.8,14.1,0.57
6/13/16,WE13,24.3,4.3,36.8,0.41
6/27/16,WE13,4,2.7,6.1,0.31
7/5/16,WE13,6.3,2.7,7.3,0.33
7/11/16,WE13,13.2,3.3,13,0.35
7/18/16,WE13,21.1,2.5,14.9,0.26
7/25/16,WE13,22.4,4.3,12.7,0.18
8/1/16,WE13,35.6,5,4,0.11
8/9/16,WE13,41.1,2.7,1.2,0.01
8/15/16,WE13,64.1,2.6,14.2,0.03
8/22/16,WE13,32.1,3.3,5.9,0.02
8/29/16,WE13,35.8,5.2,19.5,0.002
9/6/16,WE13,67.6,25.8,27.3,0.01
9/12/16,WE13,37.2,3.3,24.1,0.14
9/19/16,WE13,47.2,15.3,11,0.11
9/28/16,WE13,72.6,27.2,26.6,0.1
10/3/16,WE13,132.3,45.9,22.9,0.13
10/11/16,WE13,55.4,23.8,31.8,0.3
10/17/16,WE13,32.6,9.6,17.8,0.34
4/25/17,WE13,39.91,7.14,310.53,0.62
5/8/17,WE13,39.87,10.27,60.86,0.65
5/30/17,WE13,17.22,3.47,26.31,0.56
6/12/17,WE13,10.47,2.32,71.72,0.42
6/26/17,WE13,13.82,2.38,2.33,0.43
7/5/17,WE13,11.41,3.1,10.33,0.41
7/11/17,WE13,12.83,3.42,35.91,0.59
7/17/17,WE13,12.85,2.36,28.25,0.48
7/24/17,WE13,17.48,3.54,59.03,0.6
7/31/17,WE13,28.57,2.94,38.3,0.44
8/7/17,WE13,21.84,4.22,11.05,0.59
8/14/17,WE13,27.04,3.26,68.58,0.64
8/21/17,WE13,18.81,4.18,18.64,0.58
8/28/17,WE13,31.07,4.88,5.75,0.59
9/5/17,WE13,52.34,8.78,108.28,0.3
9/11/17,WE13,24.64,8.12,47.92,0.22
9/18/17,WE13,45.66,4.05,10.23,0.03
9/25/17,WE13,17.01,2.19,13.17,0.07
10/2/17,WE13,18.92,3.38,26.58,0.22
10/10/17,WE13,11.86,5.38,28.24,0.19
10/16/17,WE13,38.58,18.03,65.91,0.14
5/21/18,WE13,58.35,6.43,15.89,0.94
6/12/18,WE13,57.46,4.93,40.71,0.4
7/2/18,WE13,23.33,3.71,21.99,0.8
7/9/18,WE13,26.7,7.89,30.87,0.37
7/16/18,WE13,16.69,4.34,20.99,0.75
7/23/18,WE13,19.91,3.71,12.08,0.66
7/30/18,WE13,11.12,1.87,5.59,0.28
8/6/18,WE13,12.66,2.18,3.57,0.59
8/13/18,WE13,16.78,4.33,4.33,0.16
8/20/18,WE13,19.65,5.74,4.53,0.16
8/27/18,WE13,21.76,5.63,3.94,0.19
9/4/18,WE13,16.34,6.63,5.91,0.18
9/11/18,WE13,150.69,34.28,22.12,0.18
9/17/18,WE13,44.73,20.95,11.72,0.08
10/1/18,WE13,23.82,9.6175,1.72,0.27
