Date,Site,TotalPhosphorus,Total_Dissolved_Phosphorus,Ammonia,Nitrate_Nitrite
5/27/14,WE12,9.87,3.18,2.34,0.31
6/16/14,WE12,56.77,10.54,2.14,0.55
6/30/14,WE12,19.4,4.57,16.18,0.44
7/8/14,WE12,34.03,5.05,16.16,0.34
7/14/14,WE12,23.11,4.62,3.04,0.45
7/21/14,WE12,32.14,4.52,1.82,1.02
7/29/14,WE12,67.5,7.93,0.04,1.03
8/4/14,WE12,44.37,5.34,3.25,0.62
8/11/14,WE12,43.56,5.62,8.12,0.15
8/18/14,WE12,82.74,7.18,2.01,0
8/25/14,WE12,98.15,10.27,2.58,0.03
9/2/14,WE12,47.61,6.04,1.63,0.05
9/8/14,WE12,47.39,7.12,1.1,0.07
9/15/14,WE12,66.24,18.14,0.4,0.14
9/23/14,WE12,60.63,21.34,3.14,0.15
9/29/14,WE12,69.57,11.32,0.44,0.14
10/6/14,WE12,39.57,11.87,36.39,0.17
10/15/14,WE12,51.13,18.23,6.54,0.15
10/20/14,WE12,45.17,20.68,5.18,0.16
10/27/14,WE12,31.33,15.33,0.4,0.16
11/3/14,WE12,216.95,22.23,11.73,0.18
6/8/15,WE12,78,29.81,48.94,1.02
6/18/15,WE12,100.8,97.91,110.38,6.25
6/22/15,WE12,129.11,98.27,75.17,5.58
6/29/15,WE12,223.65,79.39,7.98,4.33
7/6/15,WE12,178.01,90.09,5.21,3.91
7/14/15,WE12,107.89,78.39,12.25,3.59
7/20/15,WE12,158.14,87.27,3.19,2.87
7/27/15,WE12,59.05,27.73,7.38,1.38
8/4/15,WE12,109.68,78.6,41.65,1.46
8/10/15,WE12,300.05,85.52,2.75,1.1
8/17/15,WE12,59.55,10.29,2.29,0.31
8/24/15,WE12,59.17,8.11,1.75,0.17
8/31/15,WE12,39.34,8.42,1.86,0.09
9/8/15,WE12,47.62,7.58,0.26,0.01
9/14/15,WE12,74.94,19.92,0.4,0.02
9/21/15,WE12,58.93,9.64,0.4,0.002
9/28/15,WE12,56.71,9.78,0.4,0.02
10/5/15,WE12,341.92,31.65,9.85,0.16
10/14/15,WE12,47.83,27.32,45.39,0.44
10/19/15,WE12,28.8,4.92,0.4,0.21
5/31/16,WE12,15.2,5.2,11.5,1.26
6/13/16,WE12,91.6,12.4,119.9,0.77
6/27/16,WE12,44.4,6.2,18.9,0.55
7/5/16,WE12,73.8,12.3,43.4,0.73
7/11/16,WE12,79.2,9.1,50.5,0.92
7/18/16,WE12,44.7,4.6,8.1,0.22
7/25/16,WE12,45.7,5,18.7,0.15
8/1/16,WE12,71.7,5.8,1.7,0.38
8/9/16,WE12,59,4.1,26.5,0.002
8/15/16,WE12,77.6,3.9,7,0.01
8/22/16,WE12,30.1,3.9,3.1,0.002
8/29/16,WE12,41.5,10.4,42.3,0.002
9/6/16,WE12,60.2,12.8,15.3,0
9/12/16,WE12,74.3,23.4,35.1,0.01
9/19/16,WE12,53.6,15.8,6.6,0.03
9/28/16,WE12,58,20.1,16,0.01
10/3/16,WE12,105.3,27.6,25.3,0.07
10/11/16,WE12,71.4,32,18.7,0.13
10/17/16,WE12,53.2,24.7,9.8,0.06
4/25/17,WE12,219.04,69.78,2108.7,3.88
5/8/17,WE12,107.63,31.57,60.46,1.62
5/30/17,WE12,112.49,48.22,59.84,2.75
6/12/17,WE12,17.32,2.89,12.52,0.67
6/26/17,WE12,56.17,27.12,53.24,2.19
7/5/17,WE12,26.02,4.62,0.73,0.72
7/11/17,WE12,19.74,4.79,23.67,0.79
7/17/17,WE12,99.46,33.99,61.29,2.85
7/24/17,WE12,19.56,3.59,10.15,0.6
7/31/17,WE12,45.95,4.3,95.56,0.54
8/7/17,WE12,32.09,2.75,24.91,0.36
8/14/17,WE12,33.65,1.46,23.18,0.32
8/21/17,WE12,98.45,3.51,13.3,0.18
8/28/17,WE12,36.51,4.3,42.89,0.08
9/5/17,WE12,47.09,3.42,52.41,0.12
9/11/17,WE12,49.92,6.06,19.18,0.15
9/18/17,WE12,30.01,5.62,26.35,0.002
9/25/17,WE12,20.14,4.46,3.84,0.002
10/2/17,WE12,51.84,11.09,9.98,0.05
10/10/17,WE12,29.32,12.29,15.48,0.01
10/16/17,WE12,46.4,19.23,65.2,0.19
5/21/18,WE12,108.85,12.3,7.66,1.48
6/12/18,WE12,90.09,32.81,136.66,1.54
6/25/18,WE12,93.66,45.1,117.13,3.99
7/2/18,WE12,25.61,6.58,4.25,1.12
7/9/18,WE12,36.82,10.45,29.46,0.88
7/16/18,WE12,16.58,4.25,15.32,0.6
7/23/18,WE12,32.76,4.17,2.71,0.46
7/30/18,WE12,20.85,3.83,3.88,0.58
8/6/18,WE12,20.47,4.38,3.08,0.19
8/13/18,WE12,26.53,6.88,2.17,0.38
8/20/18,WE12,23.77,6.15,3.46,0.14
8/27/18,WE12,29.55,5.79,2.65,0.02
9/4/18,WE12,27.18,5.19,4.37,0.06
9/11/18,WE12,111.99,22.18,22.65,0.22
9/17/18,WE12,56.52,25.72,3.97,0.09
9/25/18,WE12,62.8525,25.2745,40.26,0.12
10/1/18,WE12,43.917,15.4835,11.18,0.18
