Date,Site,TotalPhosphorus,Total_Dissolved_Phosphorus,Ammonia,Nitrate_Nitrite
6/18/15,WE4,19.74,11.88,10.17,0.64
6/22/15,WE4,24.04,35.68,11.76,0.36
6/29/15,WE4,49.21,14.84,32.29,0.38
7/6/15,WE4,9.25,1.39,2.66,0.46
7/14/15,WE4,12.56,2.49,11.92,0.52
7/20/15,WE4,80.43,7.09,3.77,0.75
7/27/15,WE4,11.26,3.98,2.55,0.29
8/4/15,WE4,48.86,4.61,3.2,0.35
8/10/15,WE4,47.82,6.29,1.07,0.04
8/17/15,WE4,25.59,2.6,1.52,0.19
8/25/15,WE4,45.58,6,5.54,0.02
8/31/15,WE4,82.13,9.9,5.66,0.03
9/8/15,WE4,42.13,14.88,0.64,0.002
9/14/15,WE4,24.58,32.96,4.72,0.22
9/21/15,WE4,15.51,1.72,1.71,0.18
9/28/15,WE4,42.86,14.62,3.8,0.01
10/5/15,WE4,52.92,15.9,30.72,0.38
10/14/15,WE4,9.25,0.55,10.5,0.25
5/31/16,WE4,28.2,2.8,20.1,0.41
6/13/16,WE4,14.9,2.2,56.1,0.34
6/27/16,WE4,12.3,2.7,10.2,0.4
7/5/16,WE4,8.6,3.2,14.6,0.34
7/11/16,WE4,11.4,3,29.9,0.27
7/18/16,WE4,20.3,5,56.5,0.37
7/25/16,WE4,33.8,6,17.7,0.2
8/1/16,WE4,10.6,2.6,12.2,0.15
8/9/16,WE4,31,3.1,5.7,0.15
8/15/16,WE4,33.3,2.8,18.9,0.12
8/22/16,WE4,65.3,2.9,9.7,0.07
8/29/16,WE4,37.8,16.6,47.9,0.002
9/6/16,WE4,30.2,6.8,7.8,0.21
9/12/16,WE4,30.8,6.8,47.9,0.1
9/19/16,WE4,99.7,17.3,22.6,0.07
9/28/16,WE4,25.1,5.6,23.8,0.26
10/3/16,WE4,38.2,12.2,38.9,0.27
10/11/16,WE4,16.9,2.8,23.1,0.26
10/17/16,WE4,16,3.6,27.4,0.27
4/25/17,WE4,35.75,14.82,337.51,0.83
5/8/17,WE4,28.34,10.05,71.07,0.65
5/30/17,WE4,11.83,5.53,64.86,0.38
6/12/17,WE4,13.79,2.46,35.01,0.49
6/26/17,WE4,11.98,4.07,21.6,0.52
7/5/17,WE4,12.45,3.49,10.85,0.55
7/11/17,WE4,11.78,2.65,36.37,0.49
7/17/17,WE4,19.19,4.56,45.97,0.5
7/24/17,WE4,18.65,4.75,20.29,1.05
7/31/17,WE4,17.32,4.33,28.07,1.18
8/7/17,WE4,18.77,9.16,57.2,1.07
8/14/17,WE4,16.6,6.74,429.82,0.94
8/21/17,WE4,24.77,6.43,16.14,0.96
8/28/17,WE4,35.28,3.84,44.86,0.23
9/5/17,WE4,25.52,2.26,26.89,0.16
9/11/17,WE4,22.61,2.21,30.19,0.2
9/18/17,WE4,18.01,5.67,111.12,0.24
9/25/17,WE4,22.31,1.71,33.13,0.17
10/2/17,WE4,14.14,4.14,60.11,0.21
10/10/17,WE4,22.2,13.82,60.32,0.26
10/16/17,WE4,12.11,7.72,28.27,0.22
5/21/18,WE4,75.65,19.01,48.48,1.39
6/12/18,WE4,28.57,9.24,116.19,0.39
6/25/18,WE4,18.65,6.73,30.38,0.3
7/2/18,WE4,24.49,3.81,12.93,0.71
7/9/18,WE4,17.03,3.47,55.15,0.98
7/16/18,WE4,19.92,4.21,34.84,0.82
7/23/18,WE4,33.2,7.56,21.21,0.86
7/30/18,WE4,10.31,1.01,9.32,0.18
8/6/18,WE4,16.25,2.86,4.03,0.41
8/13/18,WE4,17.71,5.17,3.35,0.28
8/20/18,WE4,27.47,7.96,13.14,0.23
8/27/18,WE4,27.47,6.02,4.28,0.18
9/4/18,WE4,26.69,8.45,7.49,0.03
9/11/18,WE4,71.06,18.89,24.51,0.05
9/17/18,WE4,35.58,11.54,0.4,0.34
9/25/18,WE4,20.725,6.7685,13.48,0.28
10/1/18,WE4,13.917,6.155,8.9,0.28
