Date,Site,TotalPhosphorus,Total_Dissolved_Phosphorus,Ammonia,Nitrate_Nitrite
5/15/12,WE4,8.25,4.61,28.79,0.32
5/31/12,WE4,12.81,2.53,15.38,0.32
6/11/12,WE4,9.35,3.38,1.91,0.27
6/22/12,WE4,15.5,3.91,2.28,0.19
7/12/12,WE4,15.5,5.31,4.77,0.15
7/23/12,WE4,39,10.13,7.31,0.03
7/31/12,WE4,22.82,3.81,0.04,0.45
8/6/12,WE4,26.4,4.42,6.44,0.48
8/13/12,WE4,12.44,4.15,9.62,0.21
8/20/12,WE4,13.67,3.58,9.28,0.2
8/29/12,WE4,23.9,8.78,37.21,0.23
9/5/12,WE4,21.75,4.22,3,0.13
9/12/12,WE4,12.86,2.07,1.41,0.48
9/17/12,WE4,16.42,16.54,2.35,0.1
5/29/13,WE4,15.58,4.7,13.07,0.9
6/10/13,WE4,26.36,16.75,17.55,0.65
6/17/13,WE4,8.72,3.11,2.63,0.48
6/24/13,WE4,14.52,4.43,4.54,0.54
7/3/13,WE4,32.09,15.6,52.1,0.6
7/8/13,WE4,18.83,4.53,18.85,0.5
7/15/13,WE4,15.14,6.3,1.26,0.97
7/22/13,WE4,10.74,3.33,27.59,0.31
7/29/13,WE4,10.71,2.59,15.68,0.3
8/5/13,WE4,19.63,3.87,5.86,0.64
8/12/13,WE4,27.11,5.52,5.38,1.33
8/19/13,WE4,33.2,4.14,1,0.66
8/26/13,WE4,23.69,4.35,3.11,0.37
9/3/13,WE4,34.33,2.18,1.82,0.25
9/10/13,WE4,35.1,2.15,0.04,0.12
9/17/13,WE4,14.52,1.41,0.97,0.21
9/23/13,WE4,10.08,0.16,12.41,0.25
10/15/13,WE4,33.74,3.22,0.04,0.11
10/21/13,WE4,67.71,5.98,0.04,0.01
5/27/14,WE4,10.89,3.89,3.09,0.3
6/16/14,WE4,19.71,4.4,10.41,0.48
6/30/14,WE4,23.75,5.7,20.65,0.61
7/8/14,WE4,14.45,3.51,17.8,0.46
7/14/14,WE4,13.07,3.12,13.36,0.39
7/21/14,WE4,14.32,1.74,1.69,0.32
7/29/14,WE4,16.46,3.07,9.39,0.31
8/4/14,WE4,22.09,3.17,1.64,0.14
8/11/14,WE4,45.68,5.66,7.14,0.04
8/18/14,WE4,11.98,1.33,1.77,0.18
8/25/14,WE4,11.58,0.63,18.23,0.2
9/2/14,WE4,30.69,2.83,5.28,0.07
9/8/14,WE4,30.58,3.86,1.54,0.06
9/15/14,WE4,15.41,6.4,11.83,0.19
9/23/14,WE4,9.86,1.9,0.59,0.18
9/29/14,WE4,17.68,3.91,0.33,0.19
10/6/14,WE4,20.73,6.14,23.01,0.19
10/15/14,WE4,40.08,21.03,24.25,0.16
10/20/14,WE4,11.93,2.6,7.66,0.2
10/27/14,WE4,11.86,7.72,58.2,0.2
6/8/15,WE4,12.82,3.98,28.63,0.33
